,Failed build,#passed TS,#passed Tests,#failed TS,#failed tests,tests status,main category,description,browsers,,,,,
https://github.com/trekhleb/javascript-algorithms,-,176,558,0,0,passed,-,,no,,,,,
https://github.com/airbnb/javascript,O(w),,45,,45,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/twbs/bootstrap,"O(u,m,w)",,,,8,env flaky tests/project,browser,,yes,,,,,
https://github.com/Chalarangelo/30-seconds-of-code,O(w),12,131,1,17,env flaky tests,os,path issue on Windows,no,,,,,
https://github.com/axios/axios,O(m),,203,,8,env flaky tests,browser/os,FirefoxHeadless on Macos,yes,,,,,
https://github.com/mrdoob/three.js,-,261,1290,,,passed,-,,no,,,,,
https://github.com/facebook/create-react-app,-,1,1,,,passed,-,,no,,,,,
https://github.com/iptv-org/iptv,"N18, O(w)",7,8,7,8,env flaky tests,node/os,using Unix-based system command and node version,no,,,,,
https://github.com/sveltejs/svelte,-,25,5845,,,passed,-,,yes,,,,,
https://github.com/typicode/json-server,"N18,20 on O(w)",,80,,80,env flaky tests,node/os,node version in windows,no,,,,,
https://github.com/anuraghazra/github-readme-stats,-,23,218,,,passed,-,,no,,,,,
https://github.com/hakimel/reveal.js,"O(m,w)",,293,1,,env flaky tests,os,time out,yes,,,,,
https://github.com/expressjs/express,-,91,1231,,,passed,-,,no,,,,,
https://github.com/chartjs/Chart.js,"O(u,m)",,3348,,2,env flaky tests,browser/os,browsers on ubuntu and mac,yes,,,,,
https://github.com/lodash/lodash,-,4,7121,,,passed,-,,no,,,,,
https://github.com/jquery/jquery,O(m),,1144,,1,env flaky tests,browser/os,chrome on macos,yes,,,,,
https://github.com/h5bp/html5-boilerplate,-,1,25,,,passed,-,,yes,,,,,
https://github.com/prettier/prettier,-,1320,22070,,,passed,-,,no,,,,,
https://github.com/mozilla/pdf.js,"N3 O(m,w)",,2115,1,1,env flaky tests,node/os,,yes,,,,,
https://github.com/moment/moment,-,6,3871,,,passed,-,,yes,,,,,
https://github.com/iamkun/dayjs,O(w),91,757,,,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/bigskysoftware/htmx,"N18,20 on O(w)",,702,,,flaky,network, ,yes,,,,,
https://github.com/dcloudio/uni-app,-,104,2,,,passed,-,,yes,,,,,
https://github.com/impress/impress.js,O(m),,,,,env flaky project,browser/os,FirefoxHeadless,yes,,,,,
https://github.com/preactjs/preact,"N20,22",,1203,,1,env flaky tests,node,node version,yes,,,,,
https://github.com/naptha/tesseract.js,,,68,,,env flaky project,browser/os,time out,yes,,,,,
https://github.com/Kong/insomnia,N20 on Windows,13,64,2,13,env flaky tests,os,path issue on Windows,no,,,,,
https://github.com/koajs/koa,-,282,293,,,passed,-,,no,,,,,
https://github.com/sahat/hackathon-starter,N18,1,9,,,passed,-,,no,,,,,
https://github.com/zenorocha/clipboard.js,-,32,,,,passed,-,,yes,,,,,
https://github.com/markedjs/marked,"N18,20 on O(w)",,1845,,148,env flaky tests,node/os,node version in windows,no,,,,,
https://github.com/gulpjs/gulp,-,42,,,,passed,-,,no,,,,,
https://github.com/typicode/husky,-,12,,,,passed,-,,no,,,,,
https://github.com/fastify/fastify,N18,1243,,,,env flaky project,node,node version,no,,,,,
https://github.com/TheAlgorithms/JavaScript,-,344,11954,,,passed,-,,no,,,,,
https://github.com/pcottle/learnGitBranching,-,202,,,,passed,-,,yes,,,,,
https://github.com/SortableJS/Sortable,O(m),,,,,env flaky project,os,,yes,,,,,
https://github.com/gchq/CyberChef,"N22,O(w)",,1420,,,env flaky project,node/os,node version and windows,yes,,,,,
https://github.com/webtorrent/webtorrent,O(w),,,,,env flaky tests,os,,yes,,,,,
https://github.com/react-boilerplate/react-boilerplate,-,77,293,,,passed,-,,no,,,,,
https://github.com/fabricjs/fabric.js,"N22, N3 on O(m)",14,160,8,99,env flaky tests,node/os,library issues,yes,,,,,
https://github.com/lutzroeder/netron,all,,,,,env flaky project/flaky,os/node/browser,network,no,,,,,
https://github.com/docsifyjs/docsify,N18,25,186,,,passed,-, ,yes,,,,,
https://github.com/caolan/async,-,3,690,,,passed,-,,yes,,,,,
https://github.com/jashkenas/backbone,"N3 on O(u,w)",,,,,env flaky project,os,libray issue on Ubuntu and Text fromating on Windows,no,,,,,
https://github.com/jamiebuilds/the-super-tiny-compiler,-,1,,,,passed,-,,no,,,,,
https://github.com/immerjs/immer,O(w),40,3860,20,1709,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/digitalocean/nginxconfig.io,O(w),1,8,1,8,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/HeyPuter/puter,-,51,114,,,passed,-,,no,,,,,
https://github.com/jashkenas/underscore,-,2,208,,,passed,-,,no,,,,,
https://github.com/Automattic/mongoose,O(w),,3731,,6,env flaky tests,os,,no,,,,,
https://github.com/tj/commander.js,-,107,1190,,,passed,-,,no,,,,,
https://github.com/codemirror/codemirror5,"O(m,w)",,,,2,env flaky tests,os/node/browser,,no,,,,,
https://github.com/ajaxorg/ace,N22 on O(m),,1436,,3,env flaky tests,node/os,,no,,,,,
https://github.com/swagger-api/swagger-ui,O(w),95,516,1,2,env flaky tests,os,,yes,,,,,
https://github.com/remy/nodemon,O(m) O(w),,198,,198,env flaky project/flaky,os,Unix shell syntax,no,,,,,
https://github.com/rstacruz/nprogress,-,1,19,,,passed,-,,no,,,,,
https://github.com/quasarframework/quasar,-,6,75,,,passed,-,,no,,,,,
https://github.com/select2/select2,-,39,1080,,,passed,-,,yes,,,,,
https://github.com/JakeChampion/fetch,"O(m,w)",,555,,,env flaky project,browser/os,Unix shell syntax and time out,yes,,,,,
https://github.com/Modernizr/Modernizr,"O(u,m)",,1246,,886,env flaky tests,browser/os,chrome headless,yes,,,,,
https://github.com/rollup/rollup,"N22, O(w)",,5219,,6,env flaky tests,node/os,path issue on Windows,no,,,,,
https://github.com/eslint/eslint,-,35,35984,,,passed,-,,no,,,,,
https://github.com/ai/nanoid,"N18,20 on O(m)",4,47,,,env flaky project,os,,no,,,,,
https://github.com/dimsemenov/PhotoSwipe,-,1,,,,passed,-,,no,,,,,
https://github.com/highlightjs/highlight.js,-,5,,,,passed,-, ,no,,,,,
https://github.com/ramda/ramda,O(w),,1203,,,env flaky project,os,rimraf on windows,no,,,,,
https://github.com/pure-css/pure,-,1,5,,,passed,-,,yes,,,,,
https://github.com/MostlyAdequate/mostly-adequate-guide,,1,22,,,passed,-,,no,,,,,
https://github.com/validatorjs/validator.js,-,12,267,,,passed,-,,no,,,,,
https://github.com/winstonjs/winston,O(w),,194,,,env flaky project,os,rimraf on windows,no,,,,,
https://github.com/jaredhanson/passport,O(w),,545,,,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/balderdashy/sails,"N22, O(w)",,59,,59,env flaky tests,node/os,"node version
unix shell syntax",no,,,,,
https://github.com/jlmakes/scrollreveal,O(w),,65,,,env flaky project,os,Unix shell syntax,yes,,,,,
https://github.com/js-cookie/js-cookie,-,2,4,,,passed,-,,yes,,,,,
https://github.com/rahuldkjain/github-profile-readme-generator,O(m),13,78,,,env flaky project,os,macos and lib,no,,,,,
https://github.com/chalk/chalk,-,1,32,,,passed,-,,no,,,,,
https://github.com/processing/p5.js,N3 on O(m),,5150,,,env flaky project/flaky,browser/os,chrome headless,yes,,,,,
https://github.com/websockets/ws,-,12,424,,,passed,-,,no,,,,,
https://github.com/postcss/autoprefixer,-,,240,,,env flaky project,os,,no,,,,,
https://github.com/necolas/react-native-web,O(w),49,713,,,env flaky project,os,Unix style formatting,no,,,,,
https://github.com/pugjs/pug,all,26,648,1,2,env flaky tests,node,Node version,no,,,,,
https://github.com/typicode/lowdb,"N18,20 on O(w)",,,,,env flaky project,node/os,node version in windows,no,,,,,
https://github.com/simple-icons/simple-icons,-,11,29553,,,passed,-,,no,,,,,
https://github.com/svg/svgo,-,15,476,,,passed,-,,yes,,,,,
https://github.com/hapijs/joi,-,28,1610,,,passed,-,,no,,,,,
https://github.com/parse-community/parse-server,O(w),,3220,,,env flaky project/flaky,os,Unix shell syntax,no,,,,,
https://github.com/paularmstrong/normalizr,-,6,75,,,passed,-,,no,,,,,
https://github.com/avajs/ava,"O(w), N(18)O(m)",,1585,,,env flaky project,node/os,Unix shell syntax and node version on macos,no,,,,,
https://github.com/react-grid-layout/react-grid-layout,,2,95,,,passed,-,,no,,,,,
https://github.com/MagicMirrorOrg/MagicMirror,"N22, O(u,m,w)",,,,,env flaky project,os,,yes,,,,,
https://github.com/camsong/You-Dont-Need-jQuery,O(u),,,,,env flaky project,browser/os,chrome headless,yes,,,,,
https://github.com/node-red/node-red,"O(w), N(22)O(m)",,2755,,6,env flaky tests,os,path issue on Windows,yes,,,,,
https://github.com/verekia/js-stack-from-scratch,-,1,,,,passed,-,,no,,,,,
https://github.com/PanJiaChen/vue-admin-template,-,7,24,0,0,passed,-,,no,,,,,
https://github.com/facebookexperimental/Recoil,"O(u,m)",67,3611,,,env flaky project,os,library issues,no,,,,,
https://github.com/segment-boneyard/nightmare,"O(m,w)",,,,,env flaky project,os,Unix shell syntax/Electron/v2.0.18 for darwin-arm64,no,,,,,
https://github.com/nuysoft/Mock,all,,,,,env flaky project,node,gulp and new node versions,yes,,,,,
https://github.com/motdotla/dotenv,-,10,,,,passed,-,,no,,,,,
https://github.com/basecamp/trix,O(w),,438,,,env flaky project,os,Unix shell syntax,no,,,,,
https://github.com/liriliri/eruda,"O(u,m,w)",42,1,,,env flaky tests,browser/race condition,chrome headless ,yes,,,,,
https://github.com/BrowserSync/browser-sync,-,462,,,,all passed,-,,yes,,,,,
https://github.com/karma-runner/karma,"O(m,w)",588,,,,env flaky tests,browser/os,,yes,,,,,
https://github.com/DustinBrett/daedalOS,-,14,,,,all passed,-,,yes,,,,,
https://github.com/bpmn-io/bpmn-js,O(u),2190,,,,env flaky project,browser/os,chrome headless,yes,,,,,
https://github.com/appbaseio/dejavu,all,,,,,env flaky project,node/os,path isseu on windows node versions,yes,,,,,
https://github.com/mediaelement/mediaelement,-,61,,,,all passed,-,,yes,,,,,
https://github.com/isomorphic-git/isomorphic-git,all,,,,,env flaky project,node,,yes,,,,,
https://github.com/aws/aws-sdk-js,all,4617,7,,,env flaky tests,node/os,path isseu on windows node versions,yes,,,,,
https://github.com/SVG-Edit/svgedit,all,,,,,env flaky project/tests,node/os,,yes,,,,,
https://github.com/fabiospampinato/cash,O(u),,,,,env flaky project,os,,yes,,,,,
https://github.com/cazala/synaptic,-,38,,,,all passed,-,,yes,,,,,
https://github.com/violentmonkey/violentmonkey,-,41,,,,all passed,-,,yes,,,,,
https://github.com/futurepress/epub.js,all,,,,,env flaky project,node/os,,yes,,,,,
https://github.com/lindell/JsBarcode,"O(m,w) N22 on O(u)",102,,,,env flaky project,node/os,,yes,,,,,
https://github.com/Dash-Industry-Forum/dash.js,O(m),,,,,env flaky tests,browser,,yes,,,,,